age,workclass,education,marital_status,occupation,relationship,race,hours_per_week,native_country,income,Sex
41,3,15,1,10,0,4,45,39,1,1
55,2,13,1,3,0,4,50,39,1,1
39,1,14,1,3,5,4,65,39,1,0
42,1,13,1,3,0,4,60,39,1,1
41,0,11,1,8,0,4,12,39,1,1
46,1,14,1,12,0,4,65,39,1,1
40,1,14,1,3,0,4,45,39,1,1
32,1,13,1,10,0,4,48,39,1,1
41,2,10,1,3,0,4,55,39,1,1
60,2,15,1,10,0,4,80,39,1,1
31,1,14,1,3,0,4,70,36,1,1
58,2,10,1,4,0,4,40,39,1,1
37,2,13,1,12,0,4,50,39,1,1
44,2,13,1,3,0,4,50,39,1,1
39,2,15,1,10,0,4,50,27,1,1
43,3,15,1,10,0,1,55,27,1,1
55,2,13,1,3,0,4,50,39,1,1
44,2,14,1,10,0,4,55,39,1,1
39,1,15,1,10,0,1,67,18,1,1
46,2,13,1,12,0,4,40,39,1,1
39,1,10,1,4,0,4,99,39,1,1
62,2,13,1,4,0,4,60,39,1,1
31,2,9,1,7,5,4,40,39,1,0
46,1,13,1,0,0,1,35,30,1,1
46,2,15,1,10,0,4,80,39,1,1
39,2,11,1,2,0,4,40,39,1,1
39,1,15,1,12,0,4,99,39,1,1
59,1,16,1,10,0,4,45,39,1,1
50,2,15,1,10,0,4,60,39,1,1
46,1,16,1,10,0,4,55,39,1,1
53,2,13,1,3,0,4,40,39,1,1
50,2,15,1,10,0,4,30,39,1,1
41,2,15,1,3,5,4,55,39,1,0
36,1,13,1,12,0,4,45,39,1,1
38,1,15,1,10,0,4,90,39,1,1
54,1,10,1,12,0,4,50,39,1,1
50,1,13,1,3,5,4,20,39,1,0
47,1,13,1,3,0,4,60,39,1,1
47,2,15,1,10,0,4,45,39,1,1
67,1,13,4,3,1,4,40,39,1,1
67,2,13,1,3,0,4,75,39,1,1
72,2,16,1,10,0,4,25,39,1,1
72,0,16,1,8,0,4,6,39,1,1
46,2,14,1,3,0,4,50,39,1,1
78,2,13,1,3,0,4,40,39,1,1
71,2,13,1,3,0,4,60,39,1,1
83,2,13,1,3,0,4,55,39,1,1
68,1,14,1,3,0,4,40,39,1,1
26,1,11,1,0,0,4,45,39,0,1
68,3,16,1,10,0,4,60,39,1,1
49,2,9,1,0,5,4,40,39,1,0
36,1,9,1,10,0,4,60,39,0,1
70,2,13,1,2,0,4,12,39,1,1
27,1,10,1,0,5,2,20,39,0,0
35,3,10,1,3,0,4,40,39,0,1
23,1,9,1,12,0,4,40,39,0,1
81,1,9,1,3,0,4,26,39,1,1
66,2,16,1,12,0,4,25,39,1,1
71,1,9,1,3,0,4,45,39,1,1
68,1,10,1,12,0,4,55,39,1,1
68,3,14,1,10,0,4,42,27,1,1
65,0,13,1,8,0,4,40,39,1,1
52,1,9,1,12,0,2,40,39,0,1
40,2,12,1,2,0,4,50,39,0,1
68,0,13,1,8,0,4,35,39,1,1
21,1,10,1,3,0,4,48,39,0,1
35,1,9,1,2,0,4,40,39,0,1
70,2,13,1,3,0,4,50,39,1,1
61,2,9,1,4,0,4,50,39,0,1
65,2,9,1,4,0,4,65,39,0,1
46,1,3,0,2,1,4,45,39,0,0
26,3,13,3,10,1,4,55,39,0,1
59,3,9,4,4,4,4,40,39,0,1
61,1,3,3,5,1,2,40,39,0,1
60,3,13,0,10,1,4,40,39,0,0
49,2,10,0,3,1,4,50,39,0,1
34,1,13,1,6,1,1,40,27,0,1
25,1,13,3,10,3,4,35,39,0,0
55,1,10,3,0,1,2,45,27,0,0
59,3,9,2,11,2,2,40,39,0,0
28,3,10,2,3,3,4,40,39,0,1
43,0,11,4,8,1,4,36,39,0,0
56,2,14,0,12,4,4,60,39,0,0
41,1,9,0,2,1,4,40,39,0,1
42,1,9,3,0,2,2,40,38,0,0
28,1,15,3,10,1,4,40,1,0,1
40,2,15,0,7,1,4,35,39,0,0
69,1,13,4,10,1,4,40,39,1,1
66,3,9,1,2,0,4,40,39,0,1
69,1,3,1,6,0,4,40,39,0,1
55,3,14,1,10,5,4,40,39,0,0
57,3,9,3,0,1,4,40,39,0,1
20,2,10,3,4,3,4,10,39,0,1
33,1,9,0,2,1,4,84,39,0,1
30,2,10,3,12,2,1,40,35,0,1
40,1,13,3,13,1,1,48,30,0,0
38,1,10,2,6,1,4,55,39,1,1
46,3,12,0,0,4,4,38,39,1,1
29,1,13,3,3,1,4,45,39,1,0
57,3,13,3,0,1,4,40,39,0,1
39,1,9,3,2,3,4,42,39,1,1
47,1,13,0,3,1,4,40,39,1,1
26,1,13,3,3,1,4,45,39,1,1
27,2,9,3,2,1,4,50,39,0,1
23,1,13,3,10,3,4,40,39,1,0
34,1,14,3,10,1,4,50,39,0,1
33,1,8,0,2,1,4,42,39,0,1
38,3,14,3,10,1,4,60,39,0,0
57,1,10,4,0,4,4,38,39,1,0
36,1,9,3,3,1,4,70,39,0,1
44,3,13,0,13,1,4,40,39,1,1
49,3,16,3,3,1,4,50,39,1,0
44,2,10,3,12,1,4,60,39,0,1
55,1,10,4,4,1,4,62,39,1,1
45,1,9,0,4,1,4,44,39,1,1
48,1,9,0,3,1,4,40,39,1,0
31,1,13,1,3,0,4,45,39,1,1
55,3,9,1,10,2,4,40,39,1,0
70,2,10,1,3,0,4,40,39,1,1
70,2,14,1,3,0,4,8,39,1,1
73,1,13,1,10,0,4,40,39,1,1
72,2,15,1,10,0,4,28,39,1,1
31,1,9,2,6,4,4,40,39,0,0
28,1,6,4,0,4,4,35,39,0,0
23,2,13,3,0,3,4,40,39,1,1
49,3,5,4,5,4,4,40,39,1,1
27,3,10,3,11,1,4,40,39,1,1
90,1,9,3,7,1,2,40,39,0,1
68,1,9,4,0,1,4,30,39,0,0
65,1,9,0,0,4,4,59,1,0,0
65,0,9,4,8,4,4,10,39,0,0
67,1,13,0,3,1,4,5,39,0,0
66,3,13,4,10,1,2,25,39,0,0
24,1,10,3,0,1,4,24,39,0,1
44,2,10,0,6,1,4,35,39,0,1
35,1,10,3,0,3,4,40,39,0,0
20,1,12,3,7,3,4,18,39,0,0
38,1,9,0,2,1,4,40,39,0,1
39,1,10,3,7,3,2,40,39,0,0
32,1,10,3,6,2,4,40,14,0,0
42,1,4,3,5,1,2,40,39,0,1
63,0,9,0,8,1,4,40,39,0,0
42,2,14,0,3,4,1,60,18,1,1
64,1,7,1,2,0,4,40,39,0,1
28,1,4,1,5,0,3,40,33,0,1
41,2,11,1,12,0,3,84,25,0,1
41,2,4,1,2,0,4,40,39,0,1
58,2,2,1,14,0,4,18,39,0,1
59,3,10,1,3,0,4,40,39,0,1
34,2,9,1,4,5,4,12,39,0,0
45,1,9,1,14,0,4,45,39,0,1
29,1,9,1,0,5,4,40,39,0,0
47,1,6,1,12,0,4,52,39,0,1
40,1,10,1,6,0,4,40,39,0,1
47,2,3,1,12,0,4,50,25,0,1
63,0,13,1,8,0,4,45,39,0,1
41,2,9,1,5,0,4,40,39,0,1
34,1,10,1,14,0,2,40,39,0,1
66,0,13,1,8,0,4,40,39,1,1
65,2,10,1,3,0,4,10,39,1,1
70,1,9,1,5,0,4,40,39,1,1
75,2,15,1,10,0,4,50,39,1,1
65,3,9,1,0,0,4,40,39,1,1
65,3,10,1,3,0,2,40,39,1,1
73,1,10,1,10,0,4,50,39,1,1
60,0,13,1,8,0,1,25,35,0,1
68,2,11,1,10,0,4,40,39,0,1
74,2,9,1,12,0,4,20,39,0,1
43,1,3,1,6,5,1,72,27,0,0
19,2,7,1,2,3,4,55,39,0,1
37,2,9,1,2,0,4,40,39,0,1
45,3,12,0,0,4,1,40,30,0,1
64,1,14,1,10,0,1,60,2,0,1
30,1,9,1,14,0,4,40,39,0,1
51,2,10,1,10,5,4,60,1,0,0
35,1,7,1,2,0,4,40,39,0,1
29,1,9,1,0,5,4,20,39,0,0
34,1,10,1,0,5,4,40,39,0,0
41,1,9,1,2,0,4,60,39,0,1
35,1,10,1,2,0,4,45,39,0,1
26,1,10,1,0,0,4,40,39,0,1
54,1,9,1,14,0,4,50,39,0,1
52,3,9,1,2,0,4,40,39,0,1
50,2,9,1,4,0,4,20,39,0,1
31,1,10,1,0,0,4,40,39,0,1
38,3,9,1,14,0,4,40,39,0,1
30,1,10,1,2,0,4,40,39,0,1
34,3,13,1,10,0,4,40,39,0,1
31,1,10,1,12,0,4,57,39,0,1
52,1,9,1,6,0,4,38,39,0,1
54,1,9,1,2,0,4,40,39,0,1
38,1,9,1,2,0,4,44,39,0,1
39,1,9,1,6,0,4,40,39,0,1
29,1,11,1,13,0,4,40,39,0,1
45,1,9,1,2,0,4,40,39,0,1
34,1,9,1,14,0,4,55,39,0,1
38,1,9,1,2,0,4,40,31,0,1
39,1,6,1,2,0,4,40,39,0,1
61,1,9,1,2,0,4,20,39,0,1
43,1,7,1,14,0,4,40,39,0,1
35,1,10,1,5,0,4,40,39,0,1
46,1,10,1,12,0,4,50,39,0,1
38,1,9,1,5,0,4,40,39,0,1
42,2,9,1,2,0,4,48,39,0,1
34,1,12,1,13,0,4,10,39,0,1
29,1,4,1,4,0,4,40,39,0,1
32,1,7,1,2,0,4,30,39,0,1
60,1,9,1,11,0,4,34,39,0,1
49,3,9,1,2,0,4,40,39,0,1
53,3,9,1,7,0,4,45,39,0,1
56,1,4,1,5,0,4,40,39,0,1
48,1,7,1,14,0,4,40,39,0,1
32,3,13,1,10,0,1,40,19,0,1
42,2,9,1,2,0,4,40,39,0,1
32,1,12,1,10,0,4,42,39,0,1
28,3,12,1,11,0,4,40,8,0,1
26,1,11,1,2,0,4,40,39,0,1
59,1,13,1,3,0,4,50,39,0,1
47,2,13,1,10,0,4,30,39,0,1
26,0,13,1,8,0,4,40,39,0,1
41,1,9,1,2,0,4,60,39,0,1
36,1,9,1,2,3,4,40,39,0,0
45,1,13,1,12,0,4,55,39,0,1
30,1,12,1,10,0,4,40,39,0,1
36,1,9,1,14,0,4,40,39,0,1
34,2,9,1,3,0,4,40,39,0,1
53,1,9,1,14,0,4,40,39,0,1
51,1,9,1,12,0,4,45,39,0,1
47,2,16,1,14,0,4,45,39,0,1
19,0,9,3,8,4,4,40,39,0,1
30,1,9,3,0,4,4,42,39,0,1
20,1,9,3,7,4,4,40,39,0,1
42,3,14,0,0,1,4,60,39,0,1
31,1,7,3,2,1,4,40,39,0,1
33,1,13,3,5,1,4,40,39,0,1
25,1,12,3,13,1,4,30,39,0,0
20,1,9,3,7,1,4,40,39,0,1
23,1,9,3,0,3,2,40,39,0,1
55,0,9,2,8,1,2,40,39,0,0
41,2,10,0,2,1,4,50,39,0,1
54,2,9,4,2,1,4,35,39,0,1
25,1,9,3,2,1,4,50,39,0,1
19,1,10,3,0,3,4,40,39,0,0
24,1,9,3,0,1,4,37,39,0,0
56,3,13,3,14,1,2,65,39,0,1
21,3,10,3,7,1,4,40,39,0,0
34,1,9,3,6,1,2,40,39,0,1
19,1,9,3,0,3,4,40,39,0,1
21,0,10,3,8,1,4,45,39,0,1
48,1,9,2,0,1,4,40,39,0,0
34,1,13,3,7,1,4,40,39,0,1
31,1,9,3,4,1,4,40,39,0,1
36,1,9,3,7,1,2,40,39,0,0
27,1,9,3,7,1,4,40,39,0,1
27,1,10,3,2,3,1,40,30,0,1
35,1,13,0,12,1,4,65,39,0,0
31,2,13,1,3,1,4,60,39,0,1
27,3,9,3,2,1,2,40,39,0,1
28,3,12,3,0,1,4,40,39,0,0
42,1,9,0,14,1,4,46,39,0,1
44,1,10,2,3,1,4,45,8,0,1
41,1,13,0,12,1,4,56,39,0,1
28,1,13,3,13,1,4,35,39,0,0
41,3,9,3,0,1,4,40,39,0,0
35,1,6,4,7,1,2,40,39,0,0
58,1,14,0,0,1,4,45,39,0,0
40,1,9,0,6,1,4,48,39,0,1
31,1,11,3,14,3,4,60,39,0,1
30,1,9,3,12,1,4,40,39,0,0
32,1,10,2,13,1,0,40,39,0,1
25,1,10,3,0,1,4,40,39,0,1
34,1,9,3,14,3,4,40,39,0,1
56,1,10,0,3,1,4,40,39,0,0
45,1,9,0,7,1,4,40,39,0,1
50,1,9,3,0,1,4,40,39,0,1
27,1,6,3,12,2,4,40,39,0,1
51,1,10,1,12,0,4,40,39,1,1
40,1,12,1,13,0,4,60,39,1,1
41,1,14,1,3,0,4,65,39,1,1
49,1,14,1,3,0,4,45,39,1,1
37,1,11,1,2,0,4,40,39,1,1
36,2,13,1,3,5,4,45,39,1,0
35,1,15,1,10,0,4,80,39,1,1
29,2,9,1,12,5,4,25,39,1,0
50,1,13,1,10,5,4,40,39,1,0
46,1,13,1,12,0,4,40,39,1,1
44,2,9,1,3,0,4,45,39,1,1
42,3,14,1,3,0,4,40,39,1,1
38,3,15,1,10,0,4,50,39,1,1
45,1,13,1,3,0,4,55,39,1,1
43,3,14,1,3,0,4,60,39,1,1
47,2,15,1,10,0,4,60,39,1,1
58,2,15,1,10,0,4,50,39,1,1
48,1,15,1,13,0,4,40,39,1,1
42,3,13,1,3,0,4,48,39,1,1
55,1,14,1,3,0,4,50,39,1,1
51,1,6,1,12,0,4,40,39,1,1
32,1,14,1,3,0,2,40,39,1,1
45,3,13,1,3,0,4,50,39,1,1
56,1,14,1,2,0,4,44,39,1,1
38,1,14,1,3,0,4,60,39,1,1
45,1,11,1,12,0,4,50,39,1,1
49,1,14,1,10,5,4,40,39,1,0
36,1,9,1,10,0,4,40,39,1,1
49,1,14,1,3,0,4,40,39,1,1
30,1,16,1,10,0,1,40,2,1,1
42,2,15,1,10,0,4,50,39,1,1
55,1,14,1,3,0,4,40,39,1,1
34,1,13,1,3,0,4,45,39,1,1
54,1,16,1,10,0,4,50,39,1,1
42,2,13,1,3,0,4,70,39,1,1
25,3,13,1,10,0,4,40,39,1,1
55,2,9,1,3,0,4,45,39,1,1
58,3,14,1,10,0,4,50,39,1,1
62,1,9,1,14,0,4,60,39,1,1
43,2,15,1,10,0,4,40,39,1,1
57,3,14,1,10,5,2,40,39,1,0
42,2,16,1,10,0,4,60,39,1,1
63,2,13,1,10,0,1,32,2,1,1
47,2,15,1,10,0,4,50,39,1,1
37,1,13,1,3,0,4,50,39,1,1
40,1,13,1,12,0,4,60,39,1,1
43,1,13,1,10,0,4,50,39,1,1
43,3,15,1,10,0,4,70,39,1,1
41,2,15,1,10,0,4,60,39,1,1
32,1,15,1,10,0,4,60,39,1,1
47,1,13,1,12,0,4,40,39,1,1
39,3,10,1,5,0,4,60,39,1,1
53,1,10,1,3,0,4,40,39,1,1
34,1,13,1,3,0,4,45,39,1,1
36,1,13,1,3,0,4,40,39,1,1
47,3,14,1,3,0,4,41,39,1,1
52,1,11,1,3,0,4,45,39,1,1
40,2,15,1,10,0,0,60,39,1,1
42,2,13,1,10,0,4,40,39,1,1
51,1,14,1,11,0,4,40,39,1,1
55,1,14,1,13,0,4,20,39,1,1
38,1,9,1,12,0,4,99,39,1,1
52,1,10,1,3,0,4,50,39,1,1
60,3,9,1,13,0,4,40,39,1,1
55,1,11,1,10,0,4,50,10,1,1
47,3,14,1,3,0,2,50,39,1,1
46,1,14,1,13,0,4,40,39,1,1
35,1,14,1,10,0,4,45,39,1,1
59,2,13,1,3,0,4,50,39,1,1
57,1,14,1,10,0,4,45,39,1,1
46,1,10,1,10,0,4,50,39,1,1
46,3,14,1,3,0,4,40,39,1,1
52,1,9,1,2,0,4,40,39,1,1
45,1,16,1,10,5,4,30,39,1,0
37,1,13,1,13,0,4,40,39,1,1
46,1,14,1,3,0,4,45,39,1,1
44,1,13,1,10,0,2,50,39,1,1
45,1,11,1,3,0,4,50,39,1,1
43,1,9,1,6,0,4,52,39,1,1
54,3,14,1,10,0,4,40,39,1,1
50,1,14,1,10,0,4,40,39,1,1
51,1,13,1,3,0,4,60,27,1,1
45,1,13,1,10,0,4,40,39,1,1
36,1,14,1,10,0,4,60,39,1,1
27,1,13,1,3,0,4,50,39,1,1
36,1,13,1,12,0,4,35,39,1,1
53,1,14,1,3,0,4,55,39,1,1
51,3,14,1,10,0,4,35,39,1,1
28,1,13,1,10,5,4,24,39,1,0
47,2,10,1,2,0,4,40,39,1,1
45,1,13,1,3,0,4,60,39,1,1
45,3,14,1,10,5,4,35,39,1,0
39,2,15,1,10,0,4,50,39,1,1
39,1,13,1,3,0,4,40,39,1,1
55,2,14,1,10,0,4,40,39,1,1
62,1,10,1,3,0,4,98,39,1,1
49,1,13,1,12,0,1,50,35,1,1
53,2,14,1,3,0,4,40,39,1,1
31,1,14,1,3,0,4,48,39,1,1
42,2,9,1,3,0,4,60,21,1,1
39,1,13,1,14,0,4,45,30,1,1
60,2,13,1,3,0,4,45,39,1,1
26,1,15,1,10,0,4,40,39,1,1
37,1,14,1,3,0,4,40,39,1,1
45,3,13,1,3,0,4,60,39,1,1
37,1,12,1,12,0,4,45,39,1,1
32,1,13,1,12,0,4,45,39,1,1
39,2,9,1,3,0,4,40,39,1,1
58,2,6,1,2,5,4,35,27,1,0
45,1,14,1,3,0,4,43,39,1,1
41,1,13,1,10,0,4,45,39,1,1
36,2,9,1,4,0,4,65,39,1,1
51,3,14,1,10,0,4,60,39,1,1
39,1,10,1,3,0,4,62,39,1,1
56,2,15,1,10,0,4,50,39,1,1
53,3,9,1,0,0,2,40,39,1,1
40,2,11,1,10,5,4,15,39,1,0
57,1,14,1,3,0,2,40,39,1,1
50,3,9,1,2,0,4,35,39,1,1
34,1,15,1,10,0,4,55,39,1,1
35,1,13,1,3,5,4,30,39,1,0
30,2,9,1,10,0,4,15,39,1,1
53,3,14,1,10,0,4,55,39,1,1
31,3,16,1,10,0,4,70,39,1,1
37,1,13,1,3,0,4,60,39,1,1
34,1,13,1,12,0,4,50,39,1,1
36,1,14,1,10,0,4,50,39,1,1
40,1,13,1,3,0,4,50,39,1,1
51,1,10,1,2,0,4,60,39,1,1
33,1,9,1,12,0,4,45,39,1,1
40,1,16,1,10,5,4,20,39,1,0
50,2,4,1,2,0,4,63,27,1,1
46,2,14,1,12,0,4,60,39,1,1
54,1,16,1,3,0,4,50,39,1,1
39,1,14,1,10,5,4,24,39,1,0
54,2,10,1,12,0,4,40,39,1,1
31,1,16,1,10,0,4,99,39,1,1
51,1,14,1,3,0,4,50,39,1,1
55,1,16,1,10,0,4,55,27,1,1
36,1,14,1,0,0,4,40,23,1,1
41,2,13,1,3,0,1,60,36,1,1
56,2,10,1,3,5,4,50,39,1,0
38,1,13,1,13,0,4,40,39,1,1
47,1,9,1,2,0,4,45,39,1,1
39,3,14,1,10,0,4,45,39,1,1
59,1,13,1,3,0,4,50,39,1,1
54,1,16,1,3,0,4,43,39,1,1
54,2,13,1,3,5,4,35,39,1,0
31,1,13,1,3,0,4,55,39,1,1
59,2,10,1,3,0,4,48,39,1,1
46,1,14,1,10,0,4,50,39,1,1
57,1,16,1,13,0,4,40,10,1,1
36,1,14,1,10,5,4,44,39,1,0
44,1,13,1,6,0,4,40,39,1,1
33,1,15,1,10,0,4,50,39,1,1
54,1,10,1,13,0,4,18,39,1,1
55,1,14,1,3,0,4,60,39,1,1
36,1,14,1,12,0,4,50,39,1,1
49,3,15,1,10,5,4,60,39,1,0
41,1,15,1,10,0,4,50,39,1,1
40,1,16,1,10,0,1,45,16,1,1
43,1,13,1,3,0,4,50,39,1,1
39,3,14,1,10,5,4,20,39,1,0
26,0,13,1,8,5,4,40,39,1,0
48,1,15,1,10,0,4,45,39,1,1
43,1,13,1,3,0,4,50,39,1,1
42,2,13,1,3,0,4,60,27,1,1
36,1,13,1,10,0,4,45,39,1,1
39,1,14,3,3,1,4,40,39,0,1
21,1,10,3,10,3,1,40,39,0,1
23,1,10,3,12,1,4,40,39,0,0
47,1,9,0,3,1,4,40,39,0,0
30,1,9,3,0,2,4,40,39,0,0
35,1,10,3,6,1,4,40,39,0,1
26,1,10,3,0,1,4,40,39,0,0
26,1,13,3,3,1,4,55,39,0,1
41,3,14,0,10,1,4,40,39,0,1
30,3,10,3,11,1,2,40,39,0,1
28,1,9,2,2,1,4,40,39,0,1
56,1,9,4,12,1,4,40,39,0,0
35,1,9,3,6,3,4,40,39,0,1
34,1,11,3,13,1,4,40,39,0,0
29,1,9,3,2,1,4,35,39,0,1
23,1,12,3,0,3,4,20,39,0,0
24,3,9,3,0,1,4,40,39,0,0
62,1,10,0,0,1,4,40,39,0,1
77,2,10,4,0,1,4,1,39,0,0
47,1,15,1,10,5,4,60,15,1,0
48,2,16,1,10,0,4,60,39,1,1
42,2,15,1,10,0,4,50,39,1,1
31,1,14,1,13,0,4,40,39,1,1
43,1,13,1,3,0,4,40,8,1,1
50,1,16,1,10,0,4,65,39,1,1
36,1,13,1,10,0,4,50,39,1,1
49,3,14,1,10,0,4,40,39,1,1
38,1,9,1,2,0,4,40,39,1,1
48,3,16,1,10,5,4,46,39,1,0
46,1,13,1,10,0,4,40,39,1,1
56,2,9,1,7,0,4,60,39,1,1
37,1,9,1,3,0,4,45,39,1,1
51,1,9,1,6,0,2,40,39,1,1
43,1,14,1,3,0,4,40,39,1,1
46,3,9,1,2,0,4,40,39,0,1
42,3,14,1,3,0,4,60,39,1,1
45,1,10,1,0,5,4,35,39,1,0
23,1,10,1,6,0,4,40,39,0,1
45,1,13,1,12,0,4,40,39,1,1
30,3,9,1,0,0,4,40,39,0,1
49,3,16,1,10,0,2,60,27,1,1
49,1,12,1,12,5,4,40,39,1,0
57,1,15,1,2,0,1,40,30,1,1
42,2,13,1,4,0,4,80,39,1,1
43,3,10,1,0,5,4,40,39,1,0
43,1,10,1,3,0,4,40,39,1,1
42,1,15,1,10,0,4,60,39,1,1
53,1,13,1,3,0,4,55,39,1,1
40,3,14,1,10,0,4,48,39,1,1
46,1,14,1,13,0,4,40,27,1,1
41,1,13,1,3,0,4,60,39,1,1
49,1,13,1,2,0,4,40,39,1,1
31,2,13,1,10,0,4,50,33,1,1
34,1,14,1,3,0,4,50,39,1,1
40,3,14,1,13,0,1,40,30,1,1
50,1,10,1,0,5,4,38,39,1,0
54,1,9,1,2,0,1,40,39,1,1
49,1,10,1,0,0,4,50,39,1,1
44,2,14,1,3,5,4,60,39,1,0
57,3,13,1,10,0,4,40,39,1,1
28,3,14,1,10,5,4,55,39,0,0
57,1,10,1,12,0,4,40,39,1,1
59,1,13,1,10,0,4,43,39,1,1
38,1,12,1,3,5,4,40,39,1,0
36,2,9,1,4,0,4,60,39,1,1
55,1,10,1,3,0,4,40,39,1,1
34,2,9,1,12,0,4,60,39,1,1
51,1,10,1,12,0,4,50,39,1,1
46,1,9,1,14,0,4,70,1,1,1
33,1,14,1,3,0,4,45,10,1,1
31,3,13,1,10,5,4,35,39,1,0
31,1,13,1,3,5,4,35,39,1,0
59,2,9,1,3,0,4,52,39,1,1
48,1,12,1,12,0,4,40,39,1,1
33,1,13,1,3,0,4,45,39,1,1
46,1,10,1,2,0,4,50,39,1,1
53,1,13,1,3,0,2,40,39,1,1
39,1,14,1,10,5,4,18,39,1,0
44,2,9,1,10,0,4,40,39,1,1
45,1,14,1,3,0,4,50,39,1,1
42,3,13,1,11,0,4,40,39,1,1
24,2,4,1,14,0,4,40,39,1,1
57,1,13,1,12,0,4,40,39,1,1
51,3,13,1,10,0,4,40,39,1,1
50,1,13,1,3,0,4,40,39,1,1
50,1,13,1,0,0,4,50,27,1,1
52,1,14,1,3,0,4,50,11,1,1
46,2,13,1,12,0,4,42,27,1,1
44,1,10,1,12,0,1,40,39,1,1
47,2,13,1,3,0,4,45,39,1,1
36,1,13,1,12,0,4,45,39,1,1
34,1,10,1,10,0,4,38,39,1,1
49,1,13,1,3,0,4,50,39,1,1
45,1,13,1,12,0,4,45,39,1,1
46,1,13,1,3,0,4,50,39,1,1
53,2,13,1,3,0,4,48,39,1,1
63,3,16,1,3,0,4,50,39,1,1
52,1,13,1,10,0,4,40,39,1,1
44,1,13,1,3,0,2,40,39,1,1
37,1,13,1,12,0,4,40,39,1,1
44,3,16,1,10,0,4,40,39,1,1
53,1,13,1,10,0,4,40,39,1,1
32,1,13,1,13,0,4,40,39,1,1
50,3,16,1,10,0,4,45,39,1,1
42,3,14,1,10,0,1,40,35,1,1
50,1,12,1,2,0,4,40,39,1,1
33,1,13,1,12,0,4,55,39,1,1
50,3,14,1,10,5,4,40,39,1,0
32,1,13,1,10,5,4,32,39,1,0
41,1,9,1,10,0,4,40,39,1,1
54,1,9,1,3,0,4,55,39,1,1
34,1,12,1,12,0,2,50,39,1,1
41,2,13,1,3,0,4,55,39,1,1
39,2,15,1,10,0,4,50,39,1,1
42,3,14,1,10,0,4,40,39,1,1
31,1,13,1,12,0,4,45,39,1,1
